image,class_id,class_name,conf,x1,y1,x2,y2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9318,1382.9,1018.5,1547.4,1095.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9303,1383.9,2200.7,1549.3,2277.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9277,623.8,1410.3,789.6,1489.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9205,1006.6,1017.7,1172.0,1095.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9176,1760.6,1409.1,1924.8,1488.2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9136,247.8,1410.6,411.7,1488.9
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9127,1383.7,1410.0,1549.5,1488.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9116,1794.0,1803.2,1918.5,1882.9
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9115,1004.2,1804.9,1168.4,1883.6
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9112,272.3,2201.3,399.4,2277.7
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9101,248.2,1017.0,413.6,1095.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9094,1761.3,1016.3,1926.4,1094.2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9090,626.4,1017.3,792.6,1095.2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9085,1004.9,1411.2,1168.2,1490.6
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9064,1044.5,2198.6,1166.4,2277.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.9053,73.2,1017.8,224.7,1101.2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9052,1762.8,2198.5,1923.3,2275.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.9052,1241.8,1413.5,1366.3,1495.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9031,1381.8,1805.8,1547.6,1883.2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9025,626.1,1805.4,788.8,1884.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.8986,248.2,1805.3,411.8,1883.7
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8971,466.8,2199.8,628.5,2277.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.8970,656.1,2198.5,785.0,2277.3
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8926,467.4,1006.7,609.1,1086.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8911,829.1,1795.6,993.9,1877.5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8899,1591.7,1021.3,1750.9,1101.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8891,1611.8,1813.2,1761.8,1893.6
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8888,59.7,1799.7,231.1,1879.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8868,849.8,1010.9,991.9,1089.2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8842,1222.2,1006.2,1372.0,1108.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8794,1239.5,1791.6,1371.4,1874.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8788,1566.7,1410.1,1754.0,1490.5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8712,1224.3,2190.9,1367.9,2266.5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8659,439.7,1412.6,613.9,1491.8
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8631,860.8,1420.3,991.4,1497.6
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8601,470.8,1831.2,612.0,1885.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8587,835.1,2226.6,1007.0,2278.5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8506,97.9,2194.9,226.1,2270.5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8416,52.2,1420.0,230.4,1474.7
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8357,1589.8,2226.3,1743.8,2275.2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9287,957.7,1708.5,1171.4,1790.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9217,1715.1,1709.6,1926.2,1789.8
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9189,657.1,935.0,784.0,1011.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9146,1792.6,1327.2,1921.4,1408.3
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9126,1004.6,934.4,1169.4,1011.6
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9117,1794.0,535.7,1919.4,616.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9105,1420.6,536.9,1541.8,616.5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9095,625.3,536.3,789.9,616.3
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9092,116.0,930.7,256.1,1009.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9088,249.6,537.2,413.8,615.7
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9087,658.5,1712.6,788.0,1791.7
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9085,1792.9,933.3,1919.4,1011.7
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9060,642.9,1177.2,763.7,1307.2
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9058,626.4,1327.2,793.7,1409.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9053,813.0,1329.9,1011.8,1413.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9039,1035.9,1326.6,1164.7,1407.8
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9036,277.1,934.9,406.0,1011.3
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9026,1409.5,1326.8,1539.1,1410.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9021,282.4,1327.5,407.4,1407.3
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9016,1081.2,1571.3,1176.1,1695.6
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9004,78.8,1713.2,256.2,1795.8
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8973,1413.8,933.2,1540.6,1012.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8970,280.8,1710.9,411.0,1791.4
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8952,1037.7,535.8,1164.2,616.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8889,455.3,544.5,613.1,622.6
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8883,46.1,556.9,239.1,614.7
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8869,1602.4,533.4,1764.4,614.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8865,453.9,1713.4,621.4,1794.6
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8764,1253.5,959.3,1385.6,1013.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8718,1599.6,1335.1,1766.6,1394.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8650,1706.4,1585.9,1874.8,1693.0
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8641,1210.4,566.9,1387.3,620.5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8629,893.0,944.6,995.3,998.8
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8574,1571.1,960.4,1765.5,1014.5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8564,88.1,1356.2,256.3,1411.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8515,640.9,843.1,784.9,918.1
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8473,1025.4,382.0,1128.7,515.7
